"question_date","num_questions_with_en_response"
"2019-02-10","6142"
"2019-02-11","5247"
"2019-02-12","4848"
"2019-02-13","5037"
"2019-02-14","7554"
"2019-02-15","7121"
"2019-02-16","5756"
"2019-02-17","4220"
"2019-02-18","4587"
"2019-02-19","4683"
"2019-02-20","8785"
"2019-02-21","21562"
"2019-02-22","13030"
"2019-02-23","6486"
"2019-02-24","3973"
"2019-02-25","4150"
"2019-02-26","8418"
"2019-02-27","14278"
"2019-02-28","9230"
"2019-03-01","9488"
"2019-03-02","6138"
"2019-03-03","5804"
"2019-03-04","21828"
"2019-03-05","16532"
"2019-03-06","13918"
"2019-03-07","9160"
"2019-03-08","6459"
"2019-03-09","5638"
"2019-03-10","4594"
"2019-03-11","4550"
"2019-03-12","6721"
"2019-03-13","8559"
"2019-03-14","5908"
"2019-03-15","4310"
"2019-03-16","3797"
"2019-03-17","3474"
"2019-03-18","4479"
"2019-03-19","24174"
"2019-03-20","12892"
"2019-03-21","9610"
"2019-03-22","6630"
"2019-03-23","5167"
"2019-03-24","4635"
"2019-03-25","5911"
"2019-03-26","11541"
"2019-03-27","9065"
"2019-03-28","6023"
"2019-03-29","9412"
"2019-03-30","13478"
"2019-03-31","8455"
"2019-04-01","28589"
"2019-04-02","20539"
"2019-04-03","41371"
"2019-04-04","24723"
"2019-04-05","14560"
"2019-04-06","10988"
"2019-04-07","8607"
"2019-04-08","7114"
"2019-04-09","9064"
"2019-04-10","7288"
"2019-04-11","6688"
"2019-04-12","5765"
"2019-04-13","3884"
"2019-04-14","4152"
"2019-04-15","4036"
"2019-04-16","3959"
"2019-04-17","4016"
"2019-04-18","3590"
"2019-04-19","3556"
"2019-04-20","3454"
"2019-04-21","3094"
"2019-04-22","3862"
"2019-04-23","3027"
"2019-04-24","3755"
"2019-04-25","6528"
"2019-04-26","10637"
"2019-04-27","8082"
"2019-04-28","6864"
"2019-04-29","8125"
"2019-04-30","52825"
"2019-05-01","56423"
"2019-05-02","25695"
"2019-05-03","55538"
"2019-05-04","27758"
"2019-05-05","13423"
"2019-05-06","18928"
"2019-05-07","14317"
"2019-05-08","16684"
"2019-05-09","14043"
"2019-05-10","11211"
"2019-05-11","8340"
"2019-05-12","6305"
"2019-05-13","5969"
"2019-05-14","5910"
"2019-05-15","5640"
"2019-05-16","6863"
"2019-05-17","6144"
"2019-05-18","5325"
"2019-05-19","4551"
"2019-05-20","4007"
"2019-05-21","5469"
"2019-05-22","7891"
"2019-05-23","7880"
"2019-05-24","9989"
"2019-05-25","9774"
"2019-05-26","7656"
"2019-05-27","28811"
"2019-05-28","16580"
"2019-05-29","17988"
"2019-05-30","29610"
"2019-05-31","19724"
"2019-06-01","9612"
"2019-06-02","7321"
"2019-06-03","7270"
"2019-06-04","5236"
"2019-06-05","4242"
"2019-06-06","3702"
"2019-06-07","3366"
"2019-06-08","3159"
"2019-06-09","3235"
"2019-06-10","2923"
"2019-06-11","3570"
"2019-06-12","5082"
"2019-06-13","4154"
"2019-06-14","4889"
"2019-06-15","3714"
"2019-06-16","3381"
"2019-06-17","2764"
"2019-06-18","2789"
"2019-06-19","3672"
"2019-06-20","9144"
"2019-06-21","11868"
"2019-06-22","8071"
"2019-06-23","5893"
"2019-06-24","37424"
"2019-06-25","22312"
"2019-06-26","26208"
"2019-06-27","37768"
"2019-06-28","22977"
"2019-06-29","10902"
"2019-06-30","7248"
"2019-07-01","5374"
"2019-07-02","4860"
"2019-07-03","4710"
"2019-07-04","4645"
"2019-07-05","3365"
"2019-07-06","3090"
"2019-07-07","2829"
"2019-07-08","2559"
"2019-07-09","5904"
"2019-07-10","5021"
"2019-07-11","4815"
